DATAFLOW,REF_AREA,FREQ,MEASURE,SEX,AGE,STU,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,SOURCE,NOTE_SOURCE,NOTE_INDICATOR,NOTE_CLASSIF,DECIMALS,UPPER_BOUND,LOWER_BOUND
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y15-29,STU_EDU_TOTAL,2020,14.515,B,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y15-29,STU_EDU_NO,2020,14.515,B,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y15-19,STU_EDU_TOTAL,2020,16.409,B,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y15-19,STU_EDU_NO,2020,16.409,B,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y20-24,STU_EDU_TOTAL,2020,16.004,B,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y20-24,STU_EDU_NO,2020,16.004,B,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y25-29,STU_EDU_TOTAL,2020,11.424,B,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_T,AGE_YTHBANDS_Y25-29,STU_EDU_NO,2020,11.424,B,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_M,AGE_YTHBANDS_Y15-29,STU_EDU_TOTAL,2020,13.01,B,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_UNE_3EAP_SEX_AGE_STU_RT(1.0),AFG,A,UNE_3EAP_RT,SEX_M,AGE_YTHBANDS_Y15-29,STU_EDU_NO,2020,13.01,B,RT,PT,0,LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
